Date,usindex
4/1/2010,1178.1
5/1/2010,1202.26
6/1/2010,1070.71
7/1/2010,1027.37
8/1/2010,1125.86
9/1/2010,1080.29
10/1/2010,1146.24
11/1/2010,1184.38
12/1/2010,1206.07
1/1/2011,1271.87
2/1/2011,1307.59
3/1/2011,1306.33
4/1/2011,1332.41
5/1/2011,1361.22
6/1/2011,1314.55
7/1/2011,1339.67
8/1/2011,1286.94
9/1/2011,1204.42
10/1/2011,1099.23
11/1/2011,1218.28
12/1/2011,1244.58
1/1/2012,1257.6
2/1/2012,1324.09
3/1/2012,1374.09
4/1/2012,1419.04
5/1/2012,1405.82
6/1/2012,1278.04
7/1/2012,1365.51
8/1/2012,1375.14
9/1/2012,1406.58
10/1/2012,1444.49
11/1/2012,1427.59
12/1/2012,1409.46
1/1/2013,1426.19
2/1/2013,1513.17
3/1/2013,1518.2
4/1/2013,1562.17
5/1/2013,1582.7
6/1/2013,1640.42
7/1/2013,1614.96
8/1/2013,1706.87
9/1/2013,1632.97
10/1/2013,1695
11/1/2013,1761.64
12/1/2013,1800.9
1/1/2014,1848.36
2/1/2014,1741.89
3/1/2014,1845.73
4/1/2014,1885.52
5/1/2014,1883.68
6/1/2014,1924.97
7/1/2014,1973.32
8/1/2014,1925.15
9/1/2014,2003.37
10/1/2014,1946.16
11/1/2014,2017.81
12/1/2014,2053.44
1/1/2015,2058.9
2/1/2015,2020.85
3/1/2015,2117.39
4/1/2015,2059.69
5/1/2015,2108.29
6/1/2015,2111.73
7/1/2015,2077.42
8/1/2015,2098.04
9/1/2015,1913.85
10/1/2015,1923.82
11/1/2015,2104.05
12/1/2015,2102.63
1/1/2016,2043.94
2/1/2016,1939.38
3/1/2016,1978.35
4/1/2016,2072.78
5/1/2016,2081.43
6/1/2016,2099.33
7/1/2016,2102.95
8/1/2016,2170.84
9/1/2016,2170.86
10/1/2016,2161.2
11/1/2016,2111.72
12/1/2016,2191.08
1/1/2017,2238.83
2/1/2017,2279.55
3/1/2017,2395.96
4/1/2017,2358.84
5/1/2017,2388.33
6/1/2017,2430.06
7/1/2017,2429.01
8/1/2017,2476.35
9/1/2017,2476.55
10/1/2017,2529.12
11/1/2017,2579.36
12/1/2017,2642.22
1/1/2018,2673.61
2/1/2018,2821.98
3/1/2018,2677.67
4/1/2018,2581.88
5/1/2018,2654.8
6/1/2018,2734.62
7/1/2018,2726.71
8/1/2018,2813.36
9/1/2018,2901.52
10/1/2018,2924.59
11/1/2018,2740.37
12/1/2018,2790.37
1/1/2019,2506.85
2/1/2019,2706.53
3/1/2019,2803.69
4/1/2019,2867.19
5/1/2019,2923.73
6/1/2019,2744.45
7/1/2019,2964.33
8/1/2019,2953.56
9/1/2019,2926.46
10/1/2019,2940.25
11/1/2019,3066.91
12/1/2019,3113.87
1/1/2020,3230.78
2/1/2020,3248.92
3/1/2020,3090.23
4/1/2020,2470.5
5/1/2020,2830.71
6/1/2020,3055.73
7/1/2020,3115.86
8/1/2020,3294.61
9/1/2020,3526.65
10/1/2020,3380.8
11/1/2020,3310.24
12/1/2020,3662.45
1/1/2021,3756.07
2/1/2021,3773.86
3/1/2021,3901.82
4/1/2021,4019.87
5/1/2021,4192.66
6/1/2021,4202.04
7/1/2021,4319.94
8/1/2021,4387.16
9/1/2021,4524.09
10/1/2021,4357.04
11/1/2021,4613.67
12/1/2021,4513.04
1/1/2022,4796.56
2/1/2022,4546.54
3/1/2022,4306.26
4/1/2022,4545.86
5/1/2022,4155.38
6/1/2022,4101.23
7/1/2022,3825.33
8/1/2022,4118.63
9/1/2022,3966.85
10/1/2022,3678.43
